neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K,titan_bdb_untyped_p_10K,titan_bdb_typed_p_10K
105185017,10033176,15361397,9675854,147524712,11793496,25713179,18143331,135896991,52963728,30747745,30048264
233905484,37672189,44313892,45234622,79293949,3505023,6776436,4562988,184617975,162803939,65460331,69183274
150668066,17788046,20360257,15465221,105139789,9111624,16925075,12931035,336191592,293314019,201313155,187408246
84863775,7286775,8603171,6426044,88486502,8165442,12969921,10392278,177480673,43595751,43516003,47653567
86804315,4980426,6693538,3518315,81665441,5190706,6623557,6635824,75496995,3857366,4296815,7318611
194557037,20771971,56348076,48369461,186625208,35238235,70170143,39270881,82388335,4179841,5587574,9217323
76454525,3049478,7871675,6678004,89772804,4919159,5374201,3352860,186137283,26499812,36972698,58576526
84426613,5188830,7872831,6377489,94484120,21910550,18998150,15724802,151569154,11087010,12801336,19426648
117006579,11388423,33044690,31110574,96355852,14263135,11420671,10907078,91052197,5740771,7352522,11038565
149702010,14951753,41198264,42596806,104389396,21016017,14725212,20416638,77421180,3385292,2677652,4133473
202059646,37315099,83349610,94405349,113095908,6942673,4657250,5040582,95499965,13128046,20828607,33353341
139680313,13946255,29357793,27013682,93963203,7954356,4988825,5493178,135127823,22115200,23459672,31066847
125883957,4859029,13695252,12491255,116209861,24542512,17963155,17404487,127711765,5812352,3649587,3297604
151588136,10904372,27024497,20998531,120727075,23847490,21855320,16248222,379568864,211102666,269894420,256610904
124432042,4879828,12213072,10450464,129620300,36751128,34307371,22845448,143994071,34237766,55507503,51043916
84608760,10732376,47884510,24508576,101729617,18510231,14403764,12605181,96877585,17327241,39693486,19859784
71681030,6340137,14072868,12704733,81898982,15567460,9123585,9510763,69175885,1570534,1958191,1777447
70160671,5055728,16072586,14354862,65643329,19437905,4112047,5331015,95634522,37462849,60620081,49062563
77510828,8733157,25642850,22206060,62988379,4906159,2800147,3380615,98169506,28751138,45722470,31206930
67215888,4898976,13322619,12544536,64984521,4307838,2555923,2603797,240499552,66647549,93879121,103695810
63011982,10305669,9115792,7924803,117157099,43661570,30768197,28624237,105592687,5251596,7416569,6999185
59825423,3033456,8799721,6695052,82252615,40676296,27835184,34520664,71081398,1971537,2870179,2890463
86301899,10953434,25200584,22308445,95845191,32815596,12648020,17400061,68589317,2299509,2954100,2454622
66817409,4785240,11005848,9447651,91080653,110574556,53019082,82504318,78439805,22729592,13736717,11964773
81447574,13164363,22929458,21122004,74162225,18974968,8178101,9295474,77917951,18332497,53567623,27778723
102677507,20113534,73726666,27273662,61001980,6971492,2995105,3588217,73489686,4303549,6057550,6534972
66662431,6773854,20582620,14411673,156047046,200393289,71046290,63938544,69494616,1867368,2402159,2256935
73091162,7840411,14506748,13241891,61432341,6539181,3187650,3221613,69295195,5401531,7725384,7026596
123981624,25354147,57566998,49778865,104080141,36588158,19110227,22031030,108271229,52097270,67911965,62599668
82618485,8675879,28289658,19650560,87598851,23072614,16299887,11652740,129553679,73610985,75901675,114255703
75473231,9997231,24059905,26796701,129906751,58219623,37992385,68124184,157353916,118095773,168043248,155938846
