neo4j_cypher,titan_bdb_untyped,titan_bdb_typed
1419346471,88599695,89705458
105863480,2902951,4299168
139777846,13160347,17785016
123984882,16787020,16196764
95722675,7184583,7937433
156462635,21862512,22421394
124634585,11343660,13361129
166741694,40131795,31158169
87165999,8895191,4427838
90546427,14340050,11747009
111878544,34270753,26105278
157223473,30545493,27177739
137414301,26978459,27466762
77188248,4204878,4041394
92460575,8950960,9887729
97150490,12407469,17923919
121686968,18107489,34524501
86895016,5021524,5781233
140658372,30183051,29825365
92789746,14729569,13126570
122417216,20964656,19207229
134904348,12997649,13555763
169957909,19496064,16188994
137920739,28704861,22509590
184343308,25143256,24908733
109429386,14065758,16221589
110572876,15072880,9818225
122027616,22479942,24636796
92406005,16690124,16912355
73842981,6583228,4963784
66465217,5038288,6316166
125060050,24587215,31648989
115998993,14270652,20651959
90814207,25322351,16379487
184900971,64561590,63788546
107433941,21400828,24334086
125607840,15481769,31795253
110981596,6203456,6317051
139198415,23428356,21964843
66581863,9945818,11072709
67918421,7495101,8716251
85744431,10151510,13339760
94618502,21075934,24740753
78469373,16068731,23778107
76510949,8595297,11584401
59580792,4047552,4990590
100136784,12777990,13531640
73928150,7562376,7923328
67267955,6961416,5138692
61990244,2633307,2620567
69951704,9727848,9224404
75903775,10350490,10750399
90880824,13394925,5043095
97083982,14255078,21445320
70552061,1429079,1838742
59209052,7192549,8479274
55438910,2333261,2474398
73753358,12367714,11242368
61603602,7464108,6116203
80032240,13005516,11368380
88639787,14040109,11330676
92514979,4758351,3695610
98823268,5397635,4225924
104783616,8571004,7866894
98538436,7117007,6321158
93678848,2923877,2046383
97634263,10286906,13040065
68623599,4105568,1781019
57998070,6754640,2666218
52559073,3355547,2905257
52603902,2943581,2231888
57433728,7731247,5339937
57099831,4993544,3596082
54170548,2940626,2537690
56075676,3986225,3603314
57704122,1193561,721059
71802122,12125852,6568119
49193487,1768083,994940
55253908,3884684,2257531
50865870,4486687,2698468
58823688,18688909,2156554
64703976,7070262,4535806
59101724,2778101,1860344
113484680,35679452,34977246
52315484,2569358,2604703
51554433,2166823,2225884
59545169,5088433,17802431
67502987,8067641,6252502
58874654,10576157,6144913
51606605,3089428,2522149
53213134,3768432,3474819
57136214,3009815,2740949
54047437,2846543,2344869
47911863,18398009,1298230
55770347,7456139,3945207
72087378,15373469,17447228
54989060,5554124,4203375
53334511,1189397,1043682
65283635,8754740,7583994
55139132,3953159,3433482
60082239,10307710,8485030
63236223,6101384,4880640
51318647,6009013,3413966
64436665,8062217,6297438
59899305,8180551,5025483
60786276,3566673,1659385
45091754,1700701,1594606
64625213,12856117,31821668
50721293,1741580,1629431
92883405,25555778,10340386
72351127,14081003,11779195
54607798,1409758,1237138
50406950,1524582,1340601
52445569,2097796,1423716
59303144,1444264,1297396
56030581,1609101,1396131
53037439,5179847,3882251
52930748,1737437,1354021
79005215,16577676,13442117
54133591,2270057,1956771
54262160,1738220,1572697
51898825,1972690,1679860
54445760,2956786,2356376
60513957,12228190,7582002
57477187,4229613,4337206
52198327,1993511,1764882
47610249,3172293,3074909
54787768,17798071,3050766
61181816,9484510,8281829
51188675,1240058,1349545
56168538,4086871,3934751
50787694,930572,949789
