neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_gremlinp_1K,titan_bdb_untypedp_1K,titan_bdb_typed_p_1K
161110338,566604154,1313176690,1343126406,27240598,52568681,54236713
2593316623,45671313,111902681,117369199,174678743,448119658,415553079
1266631024,63241370,138673607,134502436,298469828,744161197,727137001
429973358,129674564,312247924,293996281,58684775,129265408,127952891
364276437,168971932,372548399,381138574,11177496,29522250,21674495
2961476978,97422761,160525919,169836182,562109234,1370051383,1399843649
1210417366,306897203,758695672,763765622,1565816350,4321696998,3508056573
4509184703,131442883,360495912,354714430,83308110,378990624,203993080
1828972936,59479545,147984041,141073490,1673812171,4688992911,4408227005
209009968,432610091,1067518449,1046293804,230235276,595038637,600738501
622811046,95796652,220948902,224655113,545668693,1378235475,1325389469
358015743,58846964,156592216,149674558,48733607,119519995,117365701
4242097308,93475970,241598855,234296990,87928724,215933145,211173050
342972197,129483268,308293782,303071120,49878226,128596326,125295165
3827894547,15970778,39071049,39489502,63034605,158568156,146756920
6363203891,133543573,309919193,305136184,140672831,330140772,362085826
3696677298,253853652,631951228,627366927,37454284,96662034,103991264
1486771171,245067832,563747654,557839321,174395510,430906543,442075488
341464550,25874581,57325780,61305630,32994883,93779568,89335225
261193073,268429866,679218665,687792025,23197382,46800599,46275765
1553332819,114911351,297006162,304371176,347340795,839691822,876245662
2066201539,81638909,202033079,213926499,4504404,9887108,14562619
2714642304,26916856,44488961,44189028,28818318,71482131,75732663
2167988514,85289022,214320432,226435706,171870463,423173111,449615061
2146370571,51675011,140845416,135325068,593122071,1391658184,1460097028
1233787986,44562131,106983822,114815840,772244574,1774774343,1746628514
4756185659,78251957,206074476,213998414,495083023,1222449050,1252893521
476791905,10775150,24957363,31704378,44253698,89483274,99368838
6378767806,110399683,283357146,302436528,18585603628,47977796972,49965075679
15151242120,162424217,405244079,384548476,33646661,88209277,88053996
2417808943,158939120,395290231,384469071,809673100,1846569923,1948016586
396271132,40406934,126504564,128587229,140644158,341604887,341608742
1457482104,51115381,125458060,126682160,26169172,66386775,74764074
11595332166,5494327,10117150,10966575,66431337,150266571,146995963
763813500,500631757,1287077648,1254848671,964073127,2322108566,2459717437
401106393,65354590,173032336,159675044,69468442,144084533,149057964
6748427923,95705174,247820036,242719469,267592539,691686667,732990538
306251275,1445900600,3978402954,4049895552,272488517,671754943,686404487
251831946,275765360,648572103,664274155,165521323,406515570,405247596
185672864,130485911,318955985,329282286,16603677,46888999,44771222
241140995,308682688,811079892,840817683,52496659,155094521,146767119
1526887662,182553042,435198050,442947542,27442588,55551604,65905398
6474682566,296849051,689783274,685221554,54397905,135558464,126971498
1366321364,28663754,68041552,63657229,18900033,39296695,39276879
1043977268,90034396,200230175,202493077,169394940,427998427,477025319
352905126,6398517,18034380,13673990,40312754,84067318,88853990
93623261,17255439,46057008,47727250,12346844,35137484,35694969
450104480,21081150,57083675,55704691,180210692,421736177,432532928
239750520,245560972,637143088,639487613,119092243,291269250,290736775
1016771962,34288906,80476932,79979866,28664170,86325356,65431607
130629927,235194241,578330361,604776423,72108863,153141330,162800361
2531385624,1569905,2920525,2854771,162359771,387541177,403556562
87967147,13894772,32392476,38541288,1148881821,2425884656,2519293662
685821425,24878424,61757472,53702577,174215708,450406074,454273250
446107007,247070552,617795797,621521395,445724003,1077169054,1110050433
1258530812,215926830,466548368,578498134,285440917,650688229,648358430
1107137286,629603499,1558992901,1632293477,14623517,37460612,37640032
3562166177,14552147,38821477,37839535,24592904,49505736,53542322
1811981693,121572136,315497005,300251951,582961943,1360919764,1400350354
7153718488,17339808,34872839,36243691,26359933,58974995,62951511
1102954153,7129465,12612381,12603615,432864951,1045773663,1064004977
1230223849,16281796,42985566,42072029,446236928,986795798,1006215326
512117033,256689700,598868023,583937902,245616585,597033955,615071595
5165714145,5303139,12522763,12763087,86916916,222342493,213527479
519561828,119847290,284120823,302884226,81512336,177210086,181591195
1575417422,557487333,1418290206,1360048852,208558722,516488124,506241790
1739914750,112525710,273743817,277243501,167236998,358393342,372781523
4423991037,26516828,61230300,55395824,4741417681,11843019049,12119519272
3383686186,2676618,5640103,5672870,80976186,213480119,245064152
994443431,16853430,46791442,45314646,8660504,18866465,18519331
342528145,30798566,79325102,79867434,21309636,59224149,52071839
159350648,65633929,153707817,155461865,248572896,567512464,590060467
664444462,31170348,70360452,64023579,14836213,41465029,41377267
388983667,154481390,369206539,362878996,522835048,1249617395,1274175675
120464246,358494555,907130751,902813726,147288824,375842755,348891111
1137668820,19271938,49989065,48416047,172705672,463452504,453134350
300097574,361137983,874289164,825923761,43951162,114156515,130858569
1903859783,233642461,583297384,565660698,16812418,32395343,52806853
3233750686,220667154,521677246,519578565,34396771815,75464655873,80477203319
1805332300,26625832,65363771,71838158,29262331,77360681,83114758
1482825433,130665275,317148742,303915516,25278479,73299963,59078302
1071701866,101348644,202988648,207632702,1359487756,3175101844,3397461993
3971228521,51284484,130232537,135523166,9189514,25916370,27838578
2371662760,1527487968,4304567375,3790942153,17513879,47249941,49710012
7687437454,17313557,44018865,39604153,123736085,263253651,284985782
1607338845,104462435,271049349,249391188,124083405,325813927,336624123
874030971,107956718,273554845,258838684,39143298,98361995,104785030
1614540180,209137278,529083082,507093542,6088619,18711835,12731856
523747634,18738100,44420258,40374860,964826123,2113431506,2291014437
1689670598,144071751,358982754,330519248,297772722,722291407,739685853
5123378351,217791098,567517632,533179944,15206427,40252177,42395230
568060410,412765731,949487736,924774516,100461516,249212917,277616152
2080236437,14835015,39650951,38825627,628192208,1453565103,1592823674
442578663,47969946,110677215,107228096,562952993,1142438042,1265707431
406554147,61450912,211528437,156516822,72482349,178637747,193683973
1452323283,401619132,939191121,872778247,17878747,43278743,49645151
536369913,206455605,490694800,469963303,41564973,87755928,92576425
1067990455,10265875,25658849,25598311,4489062837,11455368285,12252688254
4201210331,67264849,158135325,166006460,292274967,669495575,735982254
13667759789,20098473,39058695,42694052,39562134,100906766,108250281
3997340076,5888849,15377622,11543671,83562666,210071512,217946206
1185890555,101993180,253635923,235869909,49116649,122191641,120660276
1439459072,34268620,88673295,84076926,34186826789,72679453868,79884559781
2112128697,8221469,11455473,16289673,75914824,187633856,219278647
1679424662,10041050,20842159,31682219,229195816,514433071,551982203
3237607442,192467916,512544406,525408714,83505446,209219331,218261073
403802554,34111679,85506351,84582534,1424088098,3479798503,3699056693
383388807,104394678,259038028,245007573,84701249,229516130,230606791
1613233957,130427246,295378624,290278899,261209959,565054326,606187673
411625499,60691161,151458911,128627184,217278800,504960262,582258625
1456609257,3254682,7971772,6501496,10531115,28031088,31643931
956962456,95131779,238046034,250296217,54234434,125025956,141157458
1887662551,100249950,237967741,234465955,21869660,50571068,59055339
11109924413,109528306,245383465,239174375,457831690,1097204064,1185764309
4811638854,32831097,86920781,79991264,97847463,250046776,252251358
423894137,477767679,1189082483,1127647536,208593237,483493555,516971562
1246188839,269598485,636291254,615002290,63862426,142579354,161730210
1336467698,17290812,44525066,42113872,17830742,43341975,53303209
1579411720,30103320,66200454,69449553,62714006,163334368,173128593
