neo4j_cypher,titan_bdb_untyped,titan_bdb_typed
2464851249,979881194,1079771802
1788141251,430581587,320412772
246170172,43009690,52430423
354264128,87822425,76454927
361571208,37703796,30409483
148402191,516222170,439346446
528009729,209538791,236828175
472568916,78780187,84223778
254918324,181555055,176857306
430813672,300716965,309231043
272481494,148130169,162868418
298273143,327640555,329743357
449901705,689257151,667893601
246197465,227641107,241539615
809909977,141975474,160691293
184310077,55816919,62979331
582020712,318914556,314638877
369840924,2327483435,2402202886
399043647,215371220,228966276
97197066,326782183,353622744
322789223,171396009,196673129
1549072673,382596594,418721319
522778226,275772879,279828189
125191613,320557413,345619234
128098292,124141128,133942122
1402086360,169912175,180840510
406373631,35527623,38136284
483163500,32287229,37028944
496959531,26231615,33345503
255682324,58410118,62268513
125402873,181821731,181931331
1078687309,141768928,168506320
598251869,118530534,129709995
223905380,181485434,190843122
325708413,106737037,111761515
563507046,47015988,54549451
787107471,221217077,230551998
4765996814,194572097,191951370
118031366,827221905,836843820
119240198,152981418,148331257
749696910,154439556,165446463
502087683,21054974,19975226
112358705,85909674,80432456
336373745,212088726,237989964
233981963,507752488,508108861
1823524562,121999504,128453213
452471476,70529762,66936900
682730874,327924879,336550709
428591301,295594651,304390464
150756217,928947642,937982696
476991985,369182212,407830481
257471810,85921316,93052779
481033952,397043792,418865662
88401705,45909715,48748012
220274496,42668451,37359973
250953535,1129475689,1195287643
4559453752,147019077,154869547
1157902573,24128651,31211080
127867772,475646524,499124536
4636102220,4753022754,4861969917
86735107,58344864,56104992
377375623,163922978,186210452
479307665,143744064,166709677
133042041,105629916,112549745
235238618,1341379602,1375099134
178897187,98131630,106696145
1413397914,366735763,411336059
4487386143,278039845,280522775
280579222,52291284,53249415
758003407,265686705,291887311
348421469,161713102,160626533
639684334,4195811,4020594
2924821514,144093308,151133617
92698289,110090422,123065862
222886107,84192787,93489189
652397371,15966543,20306836
118546454,10011460,8878431
197709120,56688699,64903674
452894407,41631335,43474564
333326887,30992629,31817701
424558987,93511724,105324041
363445061,39493309,41783420
1217448984,954282139,1006342470
475832631,294464847,297306110
263899835,101771956,102822678
1100162758,10678463,13214850
436921341,274997690,286646358
233876716,143780721,148769856
278915303,90101302,83144808
370900743,1315587913,1356550263
1405695815,1373395814,1438646752
97610044,305918238,245105152
364663310,106588357,108705527
84782996,69532090,65381954
644911875,187489175,193708402
111587507,433495799,437442657
370228163,19977477,21467921
810068944,296258473,307772981
102737041,1014458621,1052599838
450544378,69288129,69910973
