neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_cypher_10K
68725026,4900126049,5097808819,5088135311,65411283,69435721
61807672,160711024,159313072,169627110,66651665,86830624
65527331,150100117,167196648,163984598,71159802,64574392
60612159,4544212807,4544041232,4433516791,60620491,82854688
63069894,931757526,902754957,897394183,70170391,74537566
62534615,2865478980,2839356503,2764960406,62262135,98690641
73155725,2423037069,2474798553,2386560533,64910205,95270745
69999284,593519767,563082226,569750553,65873678,67115520
58715257,289417857,261000179,264908057,62581905,76061171
66841837,21015085353,25146006989,23411208395,70881755,70981068
57050600,2825777023,2699425064,2644142268,66575444,108308681
63412679,281287256,268476298,269007211,65752972,66087506
67104739,336815204,304433041,328728425,59958436,66234138
65316314,1043095951,1066883248,1030936198,66448151,69110940
103610944,130144741,120370381,123257049,100002366,80523791
104993570,2736431213,2951177074,2852619734,59884242,69789101
102647599,1672934579,1656696037,1616405207,67795372,64671129
82608913,2018123789,2135181065,2065301013,68524210,68060379
48244638,1068873797,1087857656,1088564081,61555996,56566414
47915708,1054629304,1212669440,1106150609,52999043,49628990
48982032,514622946,545360944,465418202,65678418,67498875
48078607,231609553,287623913,220455220,70150988,53128267
48667651,88747858,151741310,102114450,60611182,56978476
46811354,1430306445,1765475956,1549602207,54701296,65715106
55085453,79908398,85158703,86395549,48852060,50087677
47567271,682108573,724888774,670526599,62968753,61912887
52923099,489668125,534711107,503436249,71383355,49417671
44295999,67387380,73268981,66125172,49684032,63704963
49120187,602632571,646726644,620657518,86312393,48845507
46749991,302749753,317629012,306037378,50369304,57185977
55145696,496593193,496618929,467308302,64299381,54281465
48682635,150115324,170223797,146333344,48471996,51516188
54516244,297787558,337762507,309970305,53266712,56354991
47699852,31536555,29690754,26859829,63031669,55505349
48842228,1686621060,1810574333,1691205521,48511250,50638695
49038870,1224019554,1234580959,1150504487,56260947,54583164
51597313,1554835611,1663885893,1524648020,47561474,46700021
57655997,10250156952,11095284157,9734901806,54442351,53391770
73911046,11247920423,13598688514,11364686975,66978305,51017257
78776395,2054347013,2243900547,2058566949,90234224,165048540
84504865,1256835874,1348724232,1248915942,87229287,90398477
75020091,1611580360,1694843224,1571017725,82052254,91719375
83887262,4554388053,4948817485,4396035312,65279619,80384781
77892428,95007695,100121528,87117221,43678390,79323859
63611424,4149545770,4100123395,3741806853,50802250,45852127
46097246,35478887,47362625,34125775,44364115,49711284
44442569,31811178,32538849,30609082,48319097,48351628
46329470,42075477,47114431,50538514,48308701,64729655
42445213,818042131,794425850,759305090,48091726,50608834
45816483,138011516,155472219,138493169,48424430,45660917
45222245,4365537909,4962764472,4549532357,44931686,54669425
47727913,2673903,4150262,3588528,53520562,45737550
43261262,221187870,234400859,226848625,47966128,51635637
44808203,172720627,186622925,163093864,56651757,47844308
62117356,1004414859,1006415101,985549273,65268098,65705806
41575774,3897382211,3730122577,3582603378,45252864,54907524
45169871,5765555089,5671416859,5529891638,47908672,43814280
