titan_bdb_typed,titan_bdb_untyped,neo4j_cypher
3544305,3680081,1031024185
590831,587136,64051452
514557,663541,45424358
565372,543332,37443903
483601,531344,38818581
538815,518129,62938673
574325,611747,38812331
538516,578574,39306868
499049,537400,40117531
510818,520053,45017312
440658,433036,47727852
420881,421280,43828987
495920,477472,45602338
592877,585752,43306645
537728,519320,38973807
1061278,976629,38582621
933339,837916,44471179
1008122,957586,42927134
909301,870224,39633426
883621,823044,40057760
1042875,915991,40495798
959138,852955,38765152
862684,880798,39075100
906259,795647,47147454
809358,881697,51868074
555250,806208,38470540
485679,890160,36603796
433594,818721,41987422
676705,852888,41857487
556715,612638,215322
833622,542535,40633720
859279,497717,50266365
717923,680428,57538986
542024,484542,47336698
458365,478229,30144718
472691,453924,31778832
429186,433740,29597111
418760,466354,31088095
446764,424407,47402309
732581,448499,38427459
827486,462573,30712134
667320,343943,35676294
754588,718547,32601766
752067,780936,29793263
683902,697398,33198051
741692,722817,32084047
767399,764661,33275889
687979,790725,40363079
695950,800756,31657270
462664,685280,29534458
428776,489162,29788748
419558,421614,36110722
674768,455256,33267647
608001,351367,33332695
368424,306655,181375
464340,501205,29943130
394945,529902,29034286
456342,525267,42260757
428200,433362,37269438
471287,460477,28347647
450205,413218,30237684
455321,434644,34389513
589922,614840,29586888
444427,657918,38835889
429196,571973,28624524
6957084,512260,177559
783020,724051,39108755
696708,753376,35085458
696118,701383,33748106
491847,575594,28355222
456101,427636,29241091
466632,412348,28628544
434864,381024,28567169
499310,431139,26654044
679652,450473,29354340
794352,447415,32474498
848625,403778,27195855
896947,443267,28331946
812736,406804,28298842
864751,700336,28998725
862878,483670,35676774
678522,527529,29510504
900725,651229,30787832
857408,509454,29214227
742285,711637,33552789
565368,742029,27744734
477242,790877,28334097
388258,569771,178241
518009,804885,31866338
782244,676375,30198796
532872,564981,419809
528664,477768,254146
748352,790805,30829730
549513,556488,34093349
754858,733473,29256833
744519,628237,34873726
758629,482554,36747200
828555,425882,38606426
807354,662376,33982703
849559,722166,30847996
602311,541914,29576584
546291,444169,181042
666556,532546,28950199
843391,482250,30550926
623440,574115,29586679
825132,771758,29467279
770419,684245,36861455
748593,627320,28574546
830820,687871,40343384
620439,579637,163911
731153,720741,28941431
806275,840313,29304826
759633,695952,27878438
859794,513686,30055429
742871,428182,36348861
790106,766251,34515527
719643,494112,34270560
740873,453007,29956923
797512,450171,28818724
749253,391089,34752859
891097,459335,29057898
802850,433654,40272362
767343,433084,44316314
535686,273479,222907
852461,458894,31839199
534113,463833,169118
818523,676485,28294485
780470,624669,34790803
667792,558035,36158870
885469,598763,32888866
787748,727005,30950990
775098,733211,32815256
729731,552250,28719802
883753,442983,28374289
756475,376779,31871264
666803,344876,39147793
757389,387060,30088273
777674,356171,41258909
833063,345960,29732841
533246,336422,30210357
778214,400790,40363589
859439,338919,35593774
722626,373442,28015176
536088,267131,29257887
770737,411270,41892908
473687,252818,157146
406273,241723,151586
792436,438992,28567692
801017,371104,30561900
769245,388973,28063175
718567,343658,30044594
629545,287743,29016892
648862,366200,28957186
469308,362832,31980434
451639,402735,29462494
376530,341794,32216082
439843,401961,242980
449970,406321,28033035
312015,259836,142658
454754,372914,29226758
436077,367542,28901050
451957,360231,32931139
310741,269992,33297154
467954,435337,28427793
302291,260046,143973
526407,390573,32020563
313591,375438,30778093
429164,408044,29507469
273212,503460,28476230
191096,258528,144403
357455,398269,29608770
297685,365884,39213356
924712,349050,34670063
747065,989881,35796887
526307,942932,26995217
391567,729053,34331590
536513,605620,27382660
901654,1003214,33174147
909230,921208,34644952
806411,867594,37841128
515561,564710,141553
816423,821598,29483050
866074,863228,28341223
831475,983455,28651184
651220,907774,29629479
802267,935241,30576463
774668,950904,32345200
617387,740919,26655326
872287,1023953,36872955
772071,817042,28461655
803463,846511,28112249
816483,859558,30221780
783402,813542,30385385
566864,600789,144327
818253,810777,38169146
658267,666364,652417
686550,732707,28102426
1006952,880502,42999584
810257,949259,34102260
1309340,864081,35161568
957396,820714,27323940
984495,923050,32449025
1023728,892689,29422250
883070,653462,27910774
958537,868384,36396052
971802,834215,27636649
590285,514945,28462304
949398,667048,28503464
965343,855384,29784302
998979,866070,33647201
838937,739232,33222323
605402,539840,153972
945676,827531,46986818
859533,744542,50169081
937122,768616,47304024
956981,779376,46879061
872840,847862,49088519
586647,503360,256721
867392,802743,52967802
541506,481650,44412478
777087,695893,70734690
778292,655716,51663045
780449,651785,37463535
789638,735126,27213052
827715,832441,64931624
736248,672518,34896397
848529,732059,37233420
661311,654498,35598349
709252,620011,31365056
525961,431796,152467
720601,663573,27407689
718530,652254,25880771
824973,730627,34426802
857796,37681998,29450739
801615,813453,25554299
761098,788961,26868288
658922,702108,25518895
756037,772616,27538062
739109,676686,26075805
541249,478692,150889
705692,783734,26658353
616220,713580,29611933
475189,435129,155452
685149,692426,30972822
734609,690787,27796027
702415,684277,26992544
657568,736073,26409567
645909,603942,28186399
616863,558477,25308398
725013,672050,29033760
641303,568403,30626428
604315,557714,26777999
461947,377904,195391
644121,582900,26047839
727576,638156,26829217
540511,845102,25988594
741615,683242,26089467
490179,393589,154235
582380,518918,37175622
595542,445196,26056924
691522,5449214,32320119
813425,664168,25512094
710758,496001,25840905
909708,421445,25964303
876850,509580,26738302
799597,399524,31583737
763089,371264,24836481
777130,318910,30092527
864595,362035,27247884
891340,425615,26371672
727491,320514,25640919
951402,357199,34140327
964543,357360,28986702
775490,483047,25445519
814639,481977,27402056
771703,467143,39070888
649922,580435,29512822
714516,610548,29446030
532404,364914,26137921
536747,364424,27935233
847475,723039,27920885
673473,585721,26666151
502395,353526,35252214
804499,706224,28640100
733852,619796,24794777
507183,345319,153549
704115,616079,27603078
495289,367870,31480398
787302,714488,25407265
719850,660195,26496344
476776,389067,26194313
760612,719079,26051111
524359,520882,26338114
671843,589913,26363944
523632,361572,28520809
706089,639205,24796684
660636,551262,27056678
660321,508972,25105215
653992,601251,26409692
494496,303078,213287
792273,602058,25624504
759697,594934,30896321
521663,300897,154553
701717,499045,30602716
507250,333345,26302297
727989,530605,27538307
626203,524840,34118960
735199,551937,25685212
472343,514921,25488669
468783,519432,26010387
431000,470838,28383083
483622,518090,24584434
474627,482438,35678120
340439,302592,140778
333131,293986,141916
438635,534026,25691538
488027,531382,26368269
340217,288099,25296259
330430,296059,27063222
469288,567366,27910195
461362,507301,28284962
346928,309356,184936
516348,597400,27503327
490331,559725,24541091
418816,621977,25194380
338164,313718,25870928
334703,319611,25185785
337642,286820,32211586
503921,590043,25479662
483197,500213,31497753
443196,449819,26501347
416054,478696,25609090
433240,441123,29267044
341277,293458,267084
454099,482466,29611084
602886,441831,24996765
517895,539161,28016793
428146,434165,24950310
469882,457610,26571736
520354,562991,26253554
478065,578218,29545999
480827,623871,30417206
442737,529863,34779874
481411,593818,27135540
335927,316201,26325864
461570,576961,26380657
483191,585739,26878511
337530,305959,26507491
484341,4936401,29410318
339464,416977,26976244
494639,651569,28430315
354755,348090,25613795
324801,334353,32112240
478746,651817,26042093
346033,471028,27782849
418198,581719,32198719
450708,665867,33763392
504966,711554,26342920
415969,666535,25522570
346101,356166,33677683
489198,573512,26033802
460972,568716,28003414
662678,536678,31844954
526698,321043,300239
685797,589807,27123172
554750,313360,25510246
777746,576219,31238916
654465,533056,32610647
712326,356320,146805
767551,598535,24793065
496607,313376,143978
859048,608791,26751269
592030,529717,30475082
541828,501386,24823390
349836,397978,144334
510600,572600,27977955
477475,484124,25470230
435349,424279,26606775
545181,507810,31244503
543159,645154,27552872
412367,524477,38804571
357239,414936,28342135
492309,545670,26137789
493600,702219,28661740
438050,528215,26574382
456081,598712,25721019
443291,545920,35917968
449678,525538,30239761
450908,506571,25598360
438370,544333,28825947
692131,516648,27301865
733815,504386,26138929
802897,479603,25635718
563900,309897,27803222
762921,498630,32707287
726311,489199,26702726
533751,309245,26464842
797308,561976,25519424
726182,499169,26610888
599033,447755,33509996
738548,577474,26205010
502696,294684,199680
490882,294155,32852153
802773,608809,25082404
625603,354660,25941209
666805,545537,25013106
723888,603522,32835449
770176,585800,31756348
572487,320270,157401
749700,542310,27072048
762304,493394,30434418
617369,294246,153585
568090,295242,27283553
854184,529598,26325731
622606,456128,26234111
681867,462161,30537571
747649,510705,28944380
705508,484628,28067330
817351,538135,33126344
562491,429402,26901158
642730,451842,25882554
512931,293047,26975175
469739,293428,27002214
786981,588031,26648867
820329,643809,26155781
575384,351258,37522312
780083,518085,24641758
912462,507987,27098536
607009,404090,25230638
567444,311756,29703536
524621,318430,25666253
508750,342501,28828613
683986,774999,32721352
736725,601631,35129299
677087,680791,30439404
565604,350308,234398
768769,593500,29147770
747096,579638,28841573
522353,342833,24710327
508779,343217,27392671
779530,687092,29600448
817150,857471,24848103
713229,624017,29807728
546607,352169,26401571
684413,568614,25495941
717579,1549595,25222120
815150,1248301,26688858
641582,547629,29510233
522464,330273,152545
786821,575527,31520818
836189,609591,27195216
611514,591777,26693963
705059,566575,35300281
492866,338111,25984284
474604,328324,158758
795571,705359,27147562
719996,587988,34084883
652029,496073,50085095
593532,490882,27480386
471306,304796,25899725
758589,644051,25557471
488488,321663,25546884
505479,464837,27848369
667546,462616,29501047
684518,480773,30539613
698490,489355,26614536
524485,365188,31268331
698482,518619,28693521
501825,305855,28816565
610297,405246,25674649
