neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K,titan_bdb_untyped_p_10K,titan_bdb_typed_p_10K
40397765,792467,1153428,1029568,42406999,839913,1109168,1243581,42233743,925741,9723565,995418
44556914,844815,1244149,1226323,51473462,881697,1238868,1231125,43076861,855971,1293958,1151617
45218471,825112,1200385,1096404,43721970,1024616,1084463,1052158,41103325,944366,1151802,1175173
38116196,1022697,1609580,1164754,40402503,1560704,1243134,1214106,40789958,966364,1043366,1040364
38575411,934663,2025000,1121375,38769351,1535288,1279881,1175356,51046681,980281,1085848,1082078
40336210,2122507,4029716,2549838,41133884,3286900,2269789,3986984,39869664,2211099,2747849,2641424
201776,916123,1908119,1220032,45268500,1360788,1518746,1585666,45767967,986785,1305850,1306749
40467651,893913,1793151,1141548,39333549,827774,1102531,1217030,39793112,873268,1287421,1303307
38922440,864692,2337746,1273825,44952243,906887,1168843,1318754,47079354,1035966,1232500,1248029
270081,838127,1966952,1186233,39427462,971878,1206407,1333843,41245463,984324,1233608,1256708
41302791,800273,2131410,1354979,43472400,860960,1157431,1341324,42247310,868149,1342159,1305212
42434201,855135,1996602,1239383,37944516,915979,1174226,1308530,46414238,929264,1187733,1182102
39524830,835677,2121573,1249248,54834216,973073,1221003,1394040,39624190,971738,1222937,1244070
36174299,755839,1907582,1218915,38449768,887543,1253381,1378213,39798800,861049,1276420,1337535
38609573,888939,1956135,1292157,39067388,913558,1069966,1287359,38227347,953671,1235032,1291842
35927900,841415,2030019,1373260,46389897,973052,945438,1238954,45381276,1233511,1345383,1327384
39290841,985935,1912938,1244759,37561252,1035629,984615,1545656,44207479,1098071,1337611,1278645
40138773,862216,1895986,1272626,38821806,878057,1009042,1386064,47518689,1201103,1322222,1267933
37241467,836754,1876498,1253042,42364653,885044,1094151,1322110,79040647,1131348,1293218,1265768
37361763,1007305,2012482,1342273,62980981,884119,1092061,1316316,64911449,1131322,1254549,1290294
47776437,777935,2015675,1361729,62997512,1119894,1183537,1343174,51800956,739041,1318696,1266764
63884715,631016,2019283,1343645,58806318,1198965,1062053,1241140,50635288,696417,1303589,1337890
64520803,617989,2123325,1336910,41497337,1144221,1538788,1031649,33091853,636961,1220763,1178185
62583774,606510,2084715,1281284,31866101,1220671,1271309,1032553,34111027,664253,1197161,1210830
34827124,748279,2042704,1204751,32853914,1300443,1068505,1097281,39252218,1182864,1227223,1217143
30452583,634694,1831162,1038102,40308844,1398008,1071211,1121363,38469793,1590058,1284843,1268793
38366446,719654,1814497,1045335,33597288,1254327,1068316,1087322,38329738,1745344,1350329,1379879
30658780,692681,1791655,1007683,31584127,1219235,1021935,1227709,38045918,1934634,1257668,1225850
30280221,687244,1940711,942146,33260200,1384313,1081861,1267690,33060953,1354738,1045008,1096182
35676503,667216,1636130,896581,39997541,881189,1132808,1250979,37555574,941065,1031554,1040287
31409659,690825,1699566,902675,33748532,704664,1267652,1255054,41100257,923040,928209,927835
37597938,551105,1548157,858977,30998577,640361,1125299,1333456,37055206,1025417,996611,1000758
31119799,634135,4014253,902905,32699065,704046,1171603,1278040,37768097,818044,1022188,1014920
30972971,622599,1303120,950498,189059,624032,1130191,1226801,31985026,922856,1084845,1095863
36877528,555454,1149863,833077,31930147,933221,1095955,1161457,33198968,1029972,1041529,1065273
32287148,651048,1171553,909780,31600776,1111668,1119477,1107222,41885133,1137913,1003531,1107868
36142879,545135,1102264,837567,31508390,985072,900542,1178301,36081396,1007237,1185415,1184050
37554116,568289,1254471,925597,35692494,974513,832039,1072464,42320513,856809,1047757,1041477
32259371,647642,1083007,865034,36500218,1087571,860742,1124472,42864797,1114172,1140846,994707
