neo4j_cypher_nocache,neo4j_cypher,titan_bdb_untyped,titan_bdb_typed,titan_bdb_typed_nocache
868720041,1060106753,3090610,3472318,3444818
450619,62760458,633219,645937,676190
77267709,45554806,559940,528129,547555
51119147,38142901,498238,494237,488202
38568796,42735760,527601,562558,511571
50217415,69966968,443577,490306,439290
60716164,37523312,566083,546949,487961
43695679,38830113,564315,544563,489011
37509275,37616565,494136,505504,448348
40371729,45015632,491061,514892,457277
39503439,42165051,606509,552238,477695
39139920,39968065,560986,561984,504280
43245337,41068197,485694,506982,437658
39628881,42830473,540405,549426,483660
48070850,38261356,480204,525330,465120
36721089,37579915,941913,658915,579190
48755457,39249767,828183,610592,529770
38037377,42516083,684818,496337,452040
47598135,187140,617178,453995,397707
583263,38378753,817028,624469,562805
41436476,45442284,782290,551913,511048
46013138,35911326,901102,613893,556041
39724770,40728242,829885,602311,530218
42070993,36091728,899856,664807,573336
37075663,37058422,843639,598364,518809
36339480,36920957,431524,586035,527855
42816189,37893171,422539,619761,568715
38202226,40397452,387893,598867,541722
42276420,179811,266534,416997,363920
315013,172816,272094,447295,347403
278454,47417460,315205,516951,434665
44590163,63392964,690125,647851,619448
56792193,67541214,707047,661674,627907
60190379,64185436,610793,573362,541915
64025974,61227804,687310,578804,562791
47576052,44735660,659932,495189,487002
32559994,35965602,414919,432820,452889
32315025,40049033,385306,442474,496291
39044731,32513309,368359,431712,499110
31246143,238963,267175,306153,359685
270257,31598341,354208,394569,490543
31117875,48401176,405114,433574,426573
30361385,44659707,415332,458849,430480
32412763,49335830,714645,509729,450161
33859445,34600639,608556,461054,404837
35781239,36738761,687865,520402,484201
31412176,35136155,625724,534093,528063
28902267,32487681,554777,444741,452677
31723346,38928528,540567,448454,451314
37442655,48351779,367584,436887,444520
35688845,30223535,374506,430363,504384
37290303,37057592,345332,385641,471884
38843670,29067503,412043,454086,479491
34262189,30601714,457157,512927,473949
29230782,29582716,407189,455114,471447
31803552,29692028,426142,471745,498316
32935055,28744173,622269,420575,464036
28870501,34410703,775761,444761,516053
28520580,31168655,515876,384472,504525
31385344,179988,292874,337226,330696
278113,38405486,445562,449442,562489
45110806,335194,272449,297786,325182
507888,40098352,431250,461081,544494
37931625,28672974,392221,434874,519438
30368651,180279,262745,330913,351149
307041,31879490,643234,505417,487559
28208453,179413,487145,351427,332615
323165,28350194,704032,1065270,545492
27991372,28291736,550798,657013,477735
28827001,30842843,586509,521886,514635
33379385,30179946,468025,543098,483403
