neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K,titan_bdb_untyped,titan_bdb_typed_p_10K
719854859,2351354,2495984,2199555,804465984,2393793,1732708,2691687,816104390,3057762,3236286,4362579
710321844,6506659,4174867,3637658,786635015,1579851,2199585,3338014,1798007154,8104244,11611314,13022793
739890745,3752682,2011988,1911881,779961718,1988310,2137996,3197308,914943550,23987050,35353209,44930386
744178038,1780079,2001248,1912131,755893992,1927205,2132909,3320481,846528695,4372736,4832898,5467851
781193059,1723612,2032961,1891984,792550423,1607239,1730178,2699486,831930641,1348509,2093617,2188495
711795520,5666359,3719495,2969422,762613540,7214334,2846759,4324127,791916511,2588917,3015398,3206804
756079944,1831755,2060143,1616555,839505217,2425695,1810974,2677354,938628376,3931436,6094751,5916325
807721501,11577325,14225416,12387280,811079363,3621678,1704631,2557084,798123285,2108251,4555737,3568181
882204027,2621609,2686877,2061152,834953595,2932307,1735496,2643860,786485163,1759246,4508986,5343854
762406431,3110420,2386827,1813642,875305153,4660945,2265850,2646827,789649327,2053106,5642456,5600814
697346668,3720718,2405469,1772384,849470747,2400270,1970749,1797287,771535078,2239959,4481865,4166729
774764762,8397153,14455737,11350198,817585802,2250205,1824206,1735452,794208061,2611366,4140344,4126880
747469441,1507229,1893490,1541802,762954559,2897151,2231162,2103246,806472152,1720369,3219169,3064633
744181236,2478051,1910561,1385665,761514847,2322333,1791362,1775943,858657155,13436683,9284654,9525244
721140157,1737409,2205451,1637486,756204216,2944900,2253658,2239441,946175734,3480586,6673668,6580449
714765838,2846652,2623056,2052819,738793488,1650181,1824169,1727495,784222209,2492841,3946933,4276551
752507909,1737254,1627054,1256257,771804717,1837718,2273216,1937503,838817301,1081899,3121451,3028084
748800638,1427851,1650541,1351796,814665057,1521677,1840150,1587296,841220902,2071604,4771799,4524443
696540112,2552314,2477870,1640804,800678792,1244870,1791039,2167122,835152781,2209775,3916915,3702827
714545748,1995727,2675754,1636459,817094420,1406763,1807327,1364272,836689865,6785668,7355581,7359425
745139105,1484581,1485092,1243751,831120290,3146536,2137411,1708641,840836391,1452442,2862797,2854287
766616386,1262742,1392399,1220807,818644471,1811214,1624976,1375259,873638252,1149319,2999883,3355934
682172896,2761991,1420384,23555015,1079469224,4023096,3103764,2820516,824551048,1264762,2940813,3044067
721968567,1639464,1362692,2400128,769875344,3041428,1945415,1659285,859014025,1697123,3789399,4321001
734484489,2576042,1452161,2069930,752995339,3308844,1509826,1195601,838678532,1483801,2981049,3452000
761682644,3130505,1341702,2302100,770481254,2037691,1537903,1356651,858343861,1147073,3088059,2860250
700870938,1429519,2485422,2909005,827602030,16107299,28028200,31566408,842208883,1162952,3917943,4074020
743081076,1957952,2833796,3261668,795518175,1320416,1928970,1982590,806252467,1453825,2889268,2901060
741735637,5354255,9041335,9421075,777774651,2315441,2662784,2531524,807147921,15823088,23254424,19292228
796408661,2551631,4186963,4475442,782903985,2233311,2965142,3406112,812392938,6623319,7586829,7786945
712697101,3762497,11712967,11997821,879531501,3821467,4893840,4945185,809224573,5976044,3957435,3840562
749998577,1414463,3242264,3382611,833091286,3606975,3705930,3579934,778269398,3266155,3733853,3696589
746310115,1723067,4167700,4339832,771185721,1381091,3024685,3145864,785634840,2055612,2564334,2825032
784370710,1468521,3203702,3059276,752136202,2017623,3962676,4500268,787164525,1425195,2063295,2340379
692590623,1999755,4142036,3866985,744348673,1984164,5051133,5318683,778669394,12952360,17740201,19057208
757539267,1187641,3099717,3029466,793827396,2165903,3961297,4032384,783234795,1773523,3306935,3574895
732758148,1959487,3406579,2871905,810040800,1534243,3889497,4137820,801941656,1037097,1693402,2035515
766469788,1847292,3892571,3673227,777788040,1213196,2984362,3028314,842755864,1619512,2266207,2609514
712352647,1219516,3091803,3085023,834701061,1357423,2799976,2931474,970370018,3470083,4706174,5542067
711567677,2971229,4119165,3911723,797878989,2903262,5781180,5865656,847979476,1542761,2759218,5642323
733949357,2508487,4894523,4590513,808959844,1663293,3261180,3038258,863540048,9981375,1704125,3559183
767647753,1283437,3124892,2801478,727880166,1268201,2631502,2773769,850629085,3978587,2218649,5323027
741691713,2667824,5132490,4548128,755288284,1278046,2603029,3413382,847687179,1020005,1046247,1913423
709302904,1587840,4328471,3619529,770631020,1734320,2902549,2848835,834818518,2123974,2557693,6347397
744024654,2348262,5201379,4522323,818779541,1523583,2867688,2773585,884997401,936409,1013724,1782854
755916051,1267407,2437544,2778833,781801397,1853008,3405740,3489861,838695872,2054473,1929373,4208804
703728150,1148132,1799644,2964151,883295375,879563,2746852,2869455,839640971,1716827,1627158,2987722
