neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1k,neo4j_gremlin_p_1k,titan_bdb_untyped_p_1k,titan_bdb_typed_p_1k,neo4j_cypher_p_10k,neo4j_gremlin_p_10k,titan_bdb_untyped_p_10k,titan_bdb_typed_p_10k
36434634,1542404,3216066,2099946,42812245,4397682,5252092,5021009,53205817,13996947,13040447,12456038
63281900,5253667,12041428,9068819,34614207,2347852,2682939,2571252,66701724,24243167,15231641,14512747
46000297,3497616,5373226,3653649,42032088,11919041,4695349,4602031,56972544,14716809,9153346,9076856
36558919,1940640,3934868,2599000,44876392,6043280,6149281,5663825,32932116,4570689,4536475,4237219
60432567,3389030,8768236,6139372,29816116,2897302,2681025,2668975,35907805,4736657,3845257,3605833
41142782,6111117,10760007,7135981,42022109,9811440,7011054,6579827,33451206,7991878,5179510,5028318
34779991,3156063,5243142,3319328,45494209,6365014,5408695,5038375,57528725,9427458,10939690,13090731
20717301,5636655,9294914,6138226,63040840,11629308,14706953,14429934,130527874,21274674,51441707,53347575
42501784,5174888,3407218,3680439,42117511,6452634,4763748,4605874,25604068,2401273,2930409,2707142
54106272,6968712,15546892,7265153,36625512,5022002,4305891,4012701,36743486,4576799,6264975,6069406
42437764,2297290,4582826,3617152,32668406,3412690,2485569,2354508,48018320,10819233,17266017,31307026
2736625,1175553,2456737,2067245,35836113,3362982,3515167,3355413,41056911,9310080,8173044,7116527
97145379,14225424,14688998,23445084,25164627,1528016,2027618,1964207,35706504,3525434,3306538,3716265
42618903,3341707,5090775,5406764,37069027,1733180,2107232,1990868,39897141,9598097,21179323,8761507
38147090,2142830,2659697,2899306,48245541,5200867,8716942,8340349,40220455,4602932,6313692,7581845
36447423,2364879,4209759,4314352,28929784,1483056,1761372,1913366,26141895,2407074,3256694,4162217
52190880,4373220,6780946,7060366,37820929,2388102,3188381,3156984,115785018,59374926,37868749,36347961
