neo4j_cypher,titan_bdb_untyped,titan_bdb_typed
1096802539,24550238,18482805
220088383,10339200,10808854
82108228,2384475,2886764
36343441,2475269,3404475
56029531,10241904,7850963
48651075,4135465,3032247
30769956,2226370,1691972
45396713,8136840,6413214
29563699,1455994,1249320
44480681,6584934,4593453
46257173,4277071,5160777
3793855,653258,815063
32025752,6058578,5708967
56264745,4280781,5569803
29713130,847207,1033478
50472602,8057617,6199435
31729420,2893785,2589048
38040587,3479945,5870286
48648038,3544592,5625567
44650831,4042287,6675896
3097573,933362,737963
30253527,1687183,1957895
31332110,573724,674020
27540944,1825018,1984598
11840065,3382877,3643963
41640253,3248609,3631177
28031304,1104216,1323822
27939034,862368,941214
36553602,3220419,3609124
65034580,6880630,12524969
33875956,2071138,3623386
2516577,608750,1168941
46830261,5098478,8430618
38968147,4743387,6124140
41181787,4336990,6240680
36398591,4693773,6877801
28941294,1325407,2060201
11048827,12046533,5195349
25878991,1595085,1236098
33294041,1907229,1781143
16054858,4488602,4706291
40396807,5145708,5216867
36418036,3687608,3810360
36157122,3804823,4034453
2463431,525310,564725
22990436,4747014,5278893
24334167,920638,994326
31099625,1848660,1492304
24786764,1876144,1352809
3511997,1120791,1229746
27669976,111867,129919
10263390,3499499,3914263
10962793,4591699,4331070
40289953,3700866,3863999
27037635,1928259,2015035
41684142,4748964,4775532
3572526,1186488,1441930
11901859,4032413,4569352
24833250,651721,869128
7844021,3429193,5064329
39239805,3008761,3317579
35532677,437190,469750
11801408,3611136,4202591
39402445,6118192,6862714
36124861,5971831,7272834
38034365,6024498,6898693
3995160,1200467,2437990
1761265,667344,1376610
25212741,557129,782495
43223677,4103917,12326913
22108674,694160,598431
8203234,3325545,3395947
1294292,627444,643206
5149624,4491603,4427459
28844420,2528087,2615459
1336914,579401,583330
28800189,4242036,4241164
28192138,648446,1106521
7262443,5460486,6902570
2421763,1489253,1874392
24962139,1332429,2172894
7128056,5120355,5206303
395148,121314,127740
25515664,4670366,4516068
1057716,440396,658189
25616562,656945,982015
33031421,970076,1593341
29121534,2639785,3819684
278602,91318,92076
25122119,3903929,3963320
39768607,3683973,5629467
40786909,5402734,7465621
33468323,3857234,5454008
26425648,3000355,3398225
897992,450143,457261
5618942,3642622,3529312
1576056,1052013,1051850
25786445,4437394,4087997
4481119,3864853,3109512
1527952,1549693,1038318
4677823,5583795,3389828
33338655,7129474,4621281
8190091,6165597,4183513
30518180,3198136,2124476
805640,731088,499987
34481781,4013039,2868346
2024642,990787,743279
1000290,678282,485705
43715497,3863845,2476724
36233331,1739473,1257962
41050930,4724705,3428349
27375449,1050379,759141
7159321,3719581,2486166
2845738,1169258,858955
4666730,3474267,2562378
31824242,4295812,4066168
35977575,5524437,6209185
17835242,726029,798024
6891608,5034699,5561945
894516,703016,837440
2576576,3176205,3610315
21199108,1123496,1392438
6138388,5554249,6764373
5233236,5155897,5962783
950119,968978,1055928
7777785,5197043,5704621
26856168,5528209,6297366
1646302,1334276,1299771
19959573,1354300,1499840
850082,948295,957277
26517177,3750218,3763530
18362842,1043860,1035660
2199357,2133214,2265834
3372228,3716898,3996219
611642,575528,664084
816986,770873,879326
1606200,1310910,1605153
3450145,4144019,4710468
4520794,4922240,5335231
21510810,2160894,2389274
5595740,4780939,5552808
5734596,3889671,3880444
1391508,1031950,1116027
24563631,4437989,4224526
5242899,5632505,6058423
6466499,5687372,5901802
20865608,7401352,1512498
1879240,1466158,1408857
2855475,3721759,3717915
2826667,3881243,3655809
28075467,5915956,6236847
19688649,2445675,2789016
2989100,754846,828221
4582185,1213354,1324680
25403568,2138906,2393826
2591233,3373908,3552457
3812272,4389164,4325607
3102572,3692414,3523452
2354567,3578972,3847034
3710035,4894592,5382783
3856477,5240551,4973626
30368022,3946400,3751503
181508,123419,127958
23983606,5066692,4911939
1490389,1212781,1245392
30052295,6363988,6812088
3351713,4027910,4056430
7053478,4005989,4542195
34550593,7259141,8536842
3142623,2759811,3153961
32681390,389094,478594
1633587,1073251,1398840
4330765,3895755,4736347
2463330,2639238,3036040
426748,68438,98014
41050934,2740546,8300190
4679663,3472873,2661086
3035500,2873810,3154805
22816599,471505,446445
21060725,2843718,3125461
2107853,4180945,4884440
1162606,2769316,3184778
1188177,2919065,2987695
849070,1064193,1110081
929295,2651866,2631789
1671647,4016822,4080534
389072,4255452,489440
293157,464714,539864
3960238,5768216,6822620
673075,1362808,1610554
901922,2379131,2993116
842073,904520,1078479
785237,1558754,3547564
899497,2523595,2711986
1123523,2684289,3097934
1321596,2772986,4012384
595701,551931,678153
500855,518838,670147
2194320,3011442,3656005
873701,2190407,2589011
922762,2222449,2652552
742420,431955,575723
853954,410656,498236
1081584,736031,930876
26508904,2050125,2682885
1280031,1557237,1956091
597159,1115362,1386072
437833,381648,410671
464157,602831,690221
716169,583605,629516
19468351,2910153,3304450
1158608,2282993,2422487
20281200,2233212,2287528
1136647,1499284,2652411
453412,419212,468684
404580,474889,529650
518181,555851,563999
291292,387990,416008
851160,1398441,2041561
1329646,2521375,2616614
1239833,1204388,1774199
165115,60760,104615
27861413,3145990,5959207
494183,252673,277796
1023442,1420511,2256689
1453498,1498157,2548160
899626,443885,883198
1483865,1640810,2937915
1319606,1498235,2559440
360609,396874,657879
1069334,1225658,2268576
19607712,1581190,3365144
512270,267705,563360
5295800,2673085,6038830
2883468,1706090,3692029
312408,165698,338336
1235892,1198932,2619652
1602289,1614975,3443409
539110,284396,597392
1077846,863917,1788181
438258,321289,522818
379482,319201,400232
3874866,2476282,3102571
1905699,2189031,2869629
595645,558678,570431
267454,392543,350998
355193,475253,611174
18888303,462268,486452
2452841,1384925,2457006
1127309,678364,1471650
2147660,1513008,3099763
5089239,2365021,5094261
1420886,1853613,2968111
1328549,1984826,2926359
504126,371383,538167
811890,845605,1340806
449529,327496,488397
903231,1466822,2422081
753120,611333,915840
1105134,1652511,2490036
513486,704962,1150319
3144205,2257651,3406106
1208395,1764275,2747602
1137139,1432522,2404659
1890654,1402628,2232310
759694,541699,754434
900825,1312006,2222974
3262740,1971785,3111180
524673,629543,1085706
25255294,228391,409595
19368848,385632,520451
1254624,1279963,1644248
3246428,1782453,2188184
1121792,893659,1221688
512577,481131,780818
1037579,1114213,1506606
398275,247237,264071
912238,1151832,1451054
1210420,1163194,7190147
1616174,997614,2201023
1494032,978067,2220962
437779,290649,645863
555111,234764,567132
18278577,409258,1226784
1660111,1250178,3140908
438815,231992,535935
1761927,999458,2166067
484711,379711,1031262
1295261,486876,1784701
2019320,724189,2936772
868057,345227,1265916
1119908,442083,1739942
349310,136854,1116294
537013,183461,832727
1090143,603482,2319816
1312819,1034887,2529792
1246806,983336,2574244
547563,368844,1326898
20304060,348359,814185
19911699,512040,1259366
1024934,776282,2087824
1917785,1245396,3088956
648640,485046,871437
23364263,121533,229825
1908864,926529,2348082
1756208,1190683,2913353
451525,225440,476973
1771556,974075,2063861
291825,154482,304223
