neo4j_cypher_p_100,neo4j_gremlin_p_100,titan_bdb_untyped_p_100,titan_bdb_typed_p_100,neo4j_cypher_p_1K,neo4j_gremlin_p_1K,titan_bdb_untyped_p_1K,titan_bdb_typed_p_1K,neo4j_cypher_p_10K,neo4j_gremlin_p_10K
22580400,23131702,75226075,67054951,84987667,86356782,465743492,489732516,1122682367,1360024001
20957324,18023366,65983194,67942819,79582413,84976532,471543259,474389725,1091295931,1362697620
24098452,13737490,74553931,74250995,83981839,80010990,467789486,474264337,1106841133,1382764732
19906262,13001653,65282717,66052740,84600220,86927333,470248893,475791296,1095390927,1369792118
23748439,12926288,65708071,75253286,90256457,76142037,475073247,479408529,1121177799,1368883715
19827011,25869797,78653425,72942531,80423684,95640794,473790546,464380195,1107408590,1401590654
28996515,13509091,71346867,66753484,73585618,77630212,471223964,480540051,1126430880,1376461167
27295871,13010472,71986173,73491141,86945277,80178591,465571640,457117265,1140794973,1384683507
16536454,13063084,67768997,66541038,74699720,78105708,472552243,465673930,1124827512,1391473692
18341449,12818345,67160275,71215255,103147440,79726459,496728915,462083620,1114483161,1421434062
23270146,17561270,74358096,66558827,64969174,83423780,461155969,473738152,1124295414,1404453089
17543309,13154217,68503489,67241861,65548421,75118935,463562193,466611802,1117799587,1399306445
15927212,14084844,72534787,69838953,65233203,75004141,489033677,464231052,1101870826,1423177323
19206216,13147499,67597034,67107953,61993853,75056466,468096019,479736065,1119317725,1395948941
15741303,12890837,67229560,70680163,62937238,85276541,465706976,453876056,1123620237,1391636175
17418421,12913433,71647992,66838351,68536413,86404114,471133038,470946381,1119970127,1356436770
21412709,13366670,66666520,67201874,63176653,75560973,471727879,492007940,1091296316,1387049586
15833813,13729064,71729897,71331922,61175304,76514359,462014330,461342046,1118043509,1374105887
18065222,13416237,67181921,67201806,61300183,85718787,473623684,457092966,1128596745,1371660663
17188404,19351035,74027350,85191323,60288937,76217244,467107059,463979295,1110319134,1384512018
19159158,14066248,75877202,69949762,59526760,76535360,467212811,463221243,1110482394,1380579567
20192095,13298312,67365687,67127610,67842714,76721024,461343520,458015612,1113059292,1390536223
24124245,12878020,84307832,80855919,59636340,76110224,470046336,461255917,1129085999,1374559433
17295000,12904340,67832008,68576857,60424324,80693077,468686591,461657856,1112220311,1389030288
15643834,13816236,67657778,72156397,61575236,77226684,456041376,458127832,1104475975,1384164035
15653984,13022832,75198701,72060054,59938621,76108643,476025808,455342477,1124269186,1358306630
14356143,12820713,66974557,67148143,60862477,76178772,470368867,457925907,1116649309,1360657775
15163012,12992187,75337091,75612331,58956087,82673808,467824975,477258033,1110664315,1363394997
17736395,12575566,71253639,68276398,59505336,75868754,463196811,461369313,1115526768,1386867525
16506824,12769495,70896117,74167059,60959833,76438738,492299070,452957046,1107262567,1397110654
24636999,12776151,71825206,72173134,61981564,76304545,474111809,457560744,1099643687,1396400223
19497305,13266935,71499033,68927213,59004093,76435113,467816525,464309843,1118650296,1395461214
13704033,13661586,71171665,70575439,59448629,81984859,475892998,454503148,1119436569,1385916873
14069812,13328002,66960317,72317484,59667587,79247403,475972206,455684333,1090255983,1375576674
15720137,13440679,67063762,73353716,60103713,82336739,458875420,459597041,1105727200,1378009631
17141838,13157948,71106965,67780558,57892665,76180093,467038051,471315535,1109885763,1361962305
19005650,14547369,67419286,71593761,59961659,83590374,468480043,463908676,1107218000,1362677026
16472982,13090310,70519177,71173885,58852578,78213648,467651382,465031048,1091036543,1360819417
13002368,21858923,67149521,68429623,60687902,76676133,481636462,461266207,1117503335,1359197750
12791677,20121066,66619285,76235170,62581159,101978694,478879021,472153677,1104368562,1361879917
13921029,12239698,71566304,67060396,59640398,78333554,466074817,457365657,1114332109,1365272716
15546713,12437459,67488920,70058088,59418825,76394860,460584439,464674388,1129316835,1373527239
12830070,12152679,74095582,71387040,60238092,76357808,471921411,458695880,1120058867,1373964041
12920929,13423361,67514323,66889365,66492291,77664814,469471220,494220109,1116364830,1384943053
12808723,12482308,67588748,71974256,62099657,79643160,469374034,467265699,1099934428,1397530360
12719843,12322566,70819845,66813723,60043903,81173313,463188044,467437740,1134145722,1366129138
12807728,12164861,66507065,66458988,62937232,78530578,462781024,466395550,1119070625,1362744633
20333278,13028647,71920219,71061265,70113864,77524907,462542890,454715583,1134336250,1381284017
13256757,12568967,72931310,66660844,62643950,76292723,457754394,459276152,1119302556,1363915328
13066731,13318770,73324295,77887326,62381515,78632507,463720187,462453235,1107685950,1367331989
13178175,13315445,76724353,67512702,56972145,76841602,463367274,480323031,1117686347,1361060393
13032636,13113931,67454901,66616056,61961957,75939622,465194799,462929898,1095492086,1365870285
13712514,12339944,67358891,70001037,59169569,76312345,460960640,462083596,1120110957,1376753108
19355449,12072227,72130578,67891577,63441344,83484924,462336302,463019376,1106588180,1361908750
16837731,12098496,71906816,69371848,65188131,76042560,462333442,469703312,1111124870,1369506412
13849514,12071292,71608485,71010886,63497166,75946453,459619596,450936951,1114099667,1375423206
13036132,11949658,68266331,71338145,57426548,77947336,480350633,464128501,1102137403,1362075910
13117379,11951893,70729784,73537099,58588251,76951172,468473602,458598138,1107799354,1386867938
16164395,12030107,70789465,66393904,62626274,88506899,482070519,459836788,1117234765,1400863260
15054725,12848676,70641167,73548857,66879003,76386004,459982413,467261007,1124588035,1358719723
12705686,12744762,70689881,66560371,58190600,77122378,478051779,458532962,1107753287,1359769388
14746493,12315248,66305293,67550631,57733509,75713315,466131923,457516438,1102337922,1366920494
11856251,12043967,66571827,72134435,58266522,79927373,459632749,469872617,1130986570,1365423605
11719363,12304949,71210285,68065527,62075722,76935338,463781792,457511589,1317888186,1391887968
11818646,12128726,66757592,70198361,57297422,75227142,469454497,459311002,1129953644,1418217576
16922268,12103333,79125235,70166302,58467460,76164738,466040407,461164865,1081586388,1357603334
11901660,16543902,66663835,71211236,63736657,76773298,464464747,468019712,1123338605,1363740495
11907586,13314166,67491027,69376366,60674108,79954591,465744506,458589248,1104072341,1359424549
13388324,12961295,77196529,72161943,58415719,77134465,475814226,456323996,1107632892,1362662577
12529155,13431583,67825442,67899660,63681670,75600232,461366189,477636628,1121656869,1358164227
12189908,12374039,69395283,70202781,64978689,77015924,463622475,454676501,1108118647,1376058401
16209000,11894572,67289647,67031967,58737948,80213689,468241183,482222405,1105247939,1360446774
17533253,12316951,66362009,70613648,61408622,77240454,458725457,465532127,1114166327,1372141369
11767422,11784557,70280264,70197843,61339211,76588445,470875280,462667042,1119295994,1366888085
10524804,11606212,66310511,65606857,60493141,75860228,466515379,459014955,1119974804,1414912890
10396347,11480585,69297743,72603164,62507850,83679792,465411323,457532155,1100664616,1394848673
10405263,11405377,65544716,70356216,65258891,94448852,457742314,465518979,1086958362,1383581840
12927273,11359149,65778815,78204258,68006054,77435908,462974944,455904379,1142682394,1374714803
10490277,11302334,73527390,65680510,59768879,75882644,467876114,461121124,1104632285,1362495266
11948717,11281289,66325182,66140295,75260933,76593755,458978925,462357376,1102202305,1373727167
12549395,12283144,70576757,69986640,58725495,79616476,465126390,459241252,1097509566,1371290781
17446150,14288668,65546704,66176721,59768081,76556173,468545563,452348578,1120214930,1364016902
18056589,12784359,66096640,69236468,72473887,76137198,466980095,468124065,1107831179,1365450189
18150871,12869830,70587778,66221578,59398610,76177210,466786383,459839034,1110074939,1365327624
16858916,12308186,65802852,66459711,57683863,80282351,469229849,458873291,1114123249,1364454597
15678020,12824276,70366329,75920979,67368253,76329461,465324573,456032564,1097684880,1363331173
15606860,13040494,66066822,66080526,66416062,76216143,462715305,462389661,1103641452,1364079596
16197944,12684340,65710942,68918115,58936894,76187235,471074166,459801549,1109301706,1366224893
11228527,13419986,69598267,65643764,67038733,76219241,465500234,451257118,1124706496,1369835085
8516379,13106933,65994918,66680764,58844515,79797551,472390141,466090322,1125004339,1377909183
10376865,12980942,70663203,77889618,65381640,78192711,461771834,464019344,1105412892,1395859056
8526696,12827541,65838580,65383404,56776881,76069335,478468319,458774547,1118566505,1394406245
8584744,12846904,65690691,70057654,60085437,76289019,468013520,453959556,1113774353,1370875748
8921784,12408326,70511419,65459747,61357680,79527159,457756410,476067376,1111843747,1441565035
8533065,12076777,66297859,65614089,66015883,76199457,482020884,462218680,1104853729,1398983880
8595654,30322790,79344162,69334272,70990814,92796830,472031863,482995006,1114237406,1417138174
11456601,16268692,65611189,66311637,63330617,76470879,469465561,451725863,1106609017,1451729854
8632146,12531536,66175177,68985372,66700008,79642822,476190007,466947163,1093803446,1374507873
8654113,12782938,69529553,65585713,65142812,76526457,465608213,456569200,1101273930,1373061911
9226996,18742237,66218561,66177002,66177033,76895857,471085230,465843550,1161442607,1374516935
8648386,21622433,78678526,69705141,64566924,76629328,461810716,458583562,1119277737,1357724496
8572441,20910215,65543880,65506483,64490346,75457037,462184631,460375253,1112045967,1363755488
14360077,19776485,66433864,67975005,61383434,84365933,469585149,593569783,1098969290,1378628091
9444792,16673435,71678608,65507332,57263032,79964723,461525262,521166846,1117583986,1375007116
9021535,12505649,66609489,65607121,63542455,75561639,478770007,516616079,1118693288,1361320013
8572980,12519271,69587340,68600222,62414174,77667376,464358161,529129943,1112944873,1385645093
8386571,12778725,65348991,64967226,61375720,82202936,462653320,524706245,1109480530,1393777710
8349627,12490720,66082760,68669839,61451851,77220141,516703537,522763043,1098048201,1436707443
12829064,11275366,70758649,64925629,61386232,79606662,587279220,571801671,1102951827,1374496507
9172625,11127591,65442309,65260496,57834324,77073931,464564092,467961948,1098113882,1375539685
8619252,10984058,70675459,68506476,62294392,86628084,462135232,461832126,1122387039,1384676745
8471638,10935774,65370356,69736079,64970570,76973603,465782977,466962341,1121198773,1397105887
8416715,10951434,65790948,71766268,60350750,79751785,466233327,463103398,1116734093,1359174604
8787811,10882617,82393794,66326769,64205445,76898601,490329093,460989281,1107381713,1363270564
17592731,11954160,65093980,68564878,81407624,81467988,458794924,460303194,1099433125,1392500841
10610004,11800020,74752843,71480284,57314218,85501399,465853347,464130174,1151668059,1375022304
8432607,11395327,65078313,69319511,59738732,75864732,479215622,461920904,1113210796,1374228023
8437488,11075814,65009866,76033206,59450111,81232998,463346250,459920443,1104828504,1363928612
8352105,10910126,74092060,67399023,58651385,75365375,469385522,452953349,1103162421,1396707556
8428014,11684885,65526907,65052307,58432159,80526770,469345837,459413676,1098782218,1375865026
14434740,11954323,70584498,73532501,63491442,79723329,479577352,461336455,1111734855,1411699306
8804072,11366249,70302626,65358282,57756629,76878317,454138992,472575834,1130684819,1367799568
9134544,11190431,65896300,69173180,58962975,80039885,464327481,455341322,1129848953,1379108505
10103720,22283637,70498250,65710781,64759210,77275518,466937215,468132733,1116569437,1372019356
8511591,11391401,67280186,65142692,60942580,83543614,458590578,466341798,1112045926,1362715026
8374787,10920668,70845212,70422525,61711705,80974938,467844213,468105693,1118199172,1364573063
8443053,11492436,64669591,66566952,61885359,75496842,467788297,457923884,1095484007,1363531620
11277711,12433067,65490252,65860019,60159782,76691005,464318956,466960866,1102958095,1369677079
9593858,12075803,69167892,70483465,60934009,84395021,459461057,464094742,1099967490,1382547163
8971037,11497129,64687567,65851501,75292631,81485285,465795912,465570779,1137462263,1361340578
8597846,11117973,71084107,68539746,69851373,75493919,463185335,465764860,1109283382,1365180975
8419064,10998044,65164841,65819279,68920299,80894066,459930842,459940844,1110677590,1359848767
8772343,10997584,64670899,66443363,67993860,79452460,462403957,463435048,1110650032,1367153964
11517939,11030641,69234927,69730428,62873650,77297126,467894661,450509319,1136431589,1381333047
8437154,10837228,65136196,69707610,59801479,82426688,465417410,465143110,1098088687,1397418857
8335169,10915498,70907897,68834372,61821644,81650881,457717713,478227418,1114344504,1423017249
8488240,11669643,70507477,70557600,59985753,75713907,463350018,463317057,1121930384,1377198094
8280233,12908161,65885587,64791400,59706457,80767241,464501764,460338629,1106915717,1388574138
8248366,11459373,70289805,69815385,69598071,75844046,459931702,462868439,1093903274,1369142580
22193651,11253984,66538916,64992134,59361289,76081661,472565192,465397109,1109898362,1374127679
8357468,11873504,69432173,72925049,57997310,79232521,468927339,455439868,1106605927,1361532082
8349458,12032096,65327545,69460169,61750197,80678416,461973813,457744659,1125145813,1359907763
8323431,12069571,67981104,69939284,64788308,77128428,470298744,463258247,1113360532,1380115763
8501042,11949031,69961220,71361781,57399407,78468475,464696988,471831555,1106544259,1379346025
8279438,11288174,65777650,66132884,62301846,77660628,470874334,459834675,1109664923,1374183415
16702993,11109653,71182693,72913663,57519956,82605415,457826190,473605432,1105521779,1361049343
8389415,11037667,65862399,65207107,58338020,76096225,469706640,461668524,1109051389,1362394254
8381346,11293440,65594220,65412856,59036185,77547267,464418926,460145110,1118355039,1373744958
